vae.cond_encoder.blocks.2.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.cond_encoder.blocks.2.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.cond_encoder.blocks.2.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.cond_encoder.blocks.2.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.cond_encoder.blocks.2.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.cond_encoder.blocks.2.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.cond_encoder.blocks.2.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.cond_encoder.blocks.2.norm1.w	F32	ne=[768]	torch=[768]	3072
vae.cond_encoder.blocks.2.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.cond_encoder.blocks.2.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.cond_encoder.norm_out.b	F32	ne=[768]	torch=[768]	3072
vae.cond_encoder.norm_out.w	F32	ne=[768]	torch=[768]	3072
vae.cond_encoder.proj_in.b	F32	ne=[768]	torch=[768]	3072
vae.cond_encoder.proj_in.w	F16	ne=[54, 768]	torch=[768, 54]	82944
vae.cond_quant.b	F32	ne=[512]	torch=[512]	2048
vae.cond_quant.w	F16	ne=[768, 512]	torch=[512, 768]	786432
vae.decoder.blocks.0.attn1.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.0.attn1.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.0.attn1.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.0.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.0.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.0.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.decoder.blocks.0.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.decoder.blocks.0.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.0.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.decoder.blocks.0.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.0.norm1.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.0.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.0.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.1.attn1.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.1.attn1.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.1.attn1.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.1.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.1.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.1.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.decoder.blocks.1.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.decoder.blocks.1.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.1.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.decoder.blocks.1.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.1.norm1.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.1.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.1.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.10.attn2.norm_cross.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.10.attn2.norm_cross.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.10.attn2.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.10.attn2.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.10.attn2.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.10.attn2.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.10.attn2.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.10.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.decoder.blocks.10.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.decoder.blocks.10.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.10.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.decoder.blocks.10.norm2.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.10.norm2.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.10.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.10.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.2.attn1.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.2.attn1.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.2.attn1.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.2.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.2.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.decoder.blocks.2.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.decoder.blocks.2.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.decoder.blocks.2.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.2.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.decoder.blocks.2.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.2.norm1.w	F32	ne=[768]	torch=[768]	3072
