phase	substep	kind	ok	newton	minimize	post_steps	energy	grad_norm	status	wall_s	cpu_s
0	0	AL	1	41	1	42	0.00033678666696946268	0.310932	4	43.465	43.219
1	0	reduced	1	35	1	36	0.00049037389299206072	0.00436222	4	16.169	15.438
2	1	AL	1	21	1	22	0.00099177783301356514	0.295982	4	27.189	26.984
3	1	reduced	1	81	1	82	0.0013170666530728781	0.00958086	4	39.042	38.609
