phase	substep	kind	ok	newton	minimize	post_steps	energy	grad_norm	status	wall_s	cpu_s
0	0	AL	1	100	2	102	0.004189515774993882	1.5717	0	93.436	92.031
1	0	reduced	1	42	1	43	0.0058844626263263051	0.00916312	4	25.252	25.000
2	1	AL	1	39	1	40	0.0019190652361779838	0.572579	4	51.824	45.047
3	1	reduced	1	67	1	68	0.0014974017834833619	0.00841383	4	38.790	31.922
