phase	substep	kind	ok	newton	minimize	post_steps	energy	grad_norm	status	wall_s	cpu_s
0	0	AL	1	28	1	29	0.0058363969823843004	0.797752	4	8.618	8.547
1	0	reduced	1	103	1	104	0.011156664016009473	0.0085318	4	24.314	24.234
