phase	substep	kind	ok	newton	minimize	post_steps	energy	grad_norm	status	wall_s	cpu_s
0	0	AL	1	24	1	25	0.0030627820437403443	0.646786	4	19.334	19.188
1	0	reduced	1	14	1	15	3.1591625106835431e-05	0.00454045	4	6.634	6.609
2	1	AL	1	28	1	29	0.0014071878976334548	0.398632	4	14.872	14.812
3	1	reduced	1	21	1	22	8.6053125150578849e-05	0.00777938	4	10.005	9.969
