phase	substep	kind	ok	newton	minimize	post_steps	energy	grad_norm	status	wall_s	cpu_s
0	0	AL	1	100	2	102	0.004189515774993882	1.5717	0	76.800	76.453
1	0	reduced	1	35	1	36	0.0055707850415295801	0.00486542	4	19.915	19.844
2	1	AL	1	35	1	36	0.0026848105339222603	0.868388	4	23.589	23.281
3	1	reduced	1	90	1	91	0.0024248495594596472	0.00637515	4	40.555	40.281
