phase	substep	kind	ok	newton	minimize	post_steps	energy	grad_norm	status	wall_s	cpu_s
0	0	AL	1	41	1	42	0.00033678666696946268	0.310932	4	28.855	28.828
1	0	reduced	1	37	1	38	0.00048812902783490866	0.00919512	4	17.091	17.016
2	1	AL	1	11	1	12	0.0016737798970916787	0.520543	4	8.947	8.859
3	1	reduced	1	107	1	108	0.0013414366755117495	0.0072232	4	52.891	52.500
