phase	substep	kind	ok	newton	minimize	post_steps	energy	grad_norm	status	wall_s	cpu_s
0	0	AL	1	8	1	9	0.00010733284371672409	0.0728491	4	3.513	3.453
1	0	reduced	1	34	1	35	0.016633107709935327	0.00767927	4	8.968	8.828
