op,sub,dst_type,src_types,contiguity(dst:srcs),shape_class,count,graphs,family,example
MUL_MAT,-,f32,f16|f32,C:CC,vec K<=1024 M>16384,2,2,K6,"dst33036,1,1,1 s0:896,33036,1,1 s1:896,1,1,1 p=10"
NORM,-,f32,f32,C:C,row<=1024,1964,269,K3,"dst512,54000,1,1 s0:512,54000,1,1 p=925353388"
PERMUTE,-,f32,f32,R:C,view,44214,654,noop,"dst64,512,8,1 s0:64,8,512,1 p=0,2,1,3"
PERMUTE,-,f32,f32,C:C,view,21448,383,noop,"dst128,1,16,2 s0:128,16,1,2 p=0,2,1,3"
PERMUTE,-,f32,f32,R:R,view,2082,269,noop,"dst64,54000,8,1 s0:64,8,54000,1 p=0,2,1,3"
REPEAT,-,f32,f32,C:C,nd4,43008,385,K2,"dst128,8,2,514 s0:128,8,1,514 p=-"
REPEAT,-,f32,f32,C:C,nd3,21943,385,K2,"dst128,8,514,1 s0:128,1,1,1 p=-"
REPEAT,-,f32,f32,C:C,nd2,6880,271,K2,"dst512,54000,1,1 s0:512,1,1,1 p=-"
RESHAPE,-,f32,f32,C:C,view,131856,654,noop,"dst64,8,512,1 s0:512,512,1,1 p=-"
RMS_NORM,-,f32,f32,C:C,row<=1024,21947,387,K3,"dst896,512,1,1 s0:896,512,1,1 p=872415232"
RMS_NORM,-,f32,f32,C:C,row<=128,21560,385,K3,"dst128,8,514,1 s0:128,8,514,1 p=897988541"
ROPE,-,f32,f32|i32,C:CC,hd=128,21560,385,K5,"dst128,8,514,1 s0:128,8,514,1 s1:514,1,1,1 p=0,128,2,0,3192,1232348160,1065353216,0,1065353216"
SCALE,-,f32,f32,C:C,nd4,10724,383,K1,"dst515,1,16,2 s0:515,1,16,2 p=1035273459"
SCALE,-,f32,f32,C:C,nd3,822,271,K1,"dst54000,512,8,1 s0:54000,512,8,1 p=1040187392"
SOFT_MAX,-,f32,f32,C:C,row<=1024,11542,654,K4,"dst512,512,8,1 s0:512,512,8,1 p=1065353216"
SOFT_MAX,-,f32,f32,C:C,row>16384,4,4,K4,"dst54000,512,8,1 s0:54000,512,8,1 p=1065353216"
TRANSPOSE,-,f32,f32,N:R,view,11546,654,noop,"dst54000,64,8,1 s0:64,54000,8,1 p=-"
UNARY,SILU,f32,f32,C:C,nd3,10724,383,K1,"dst3072,1,2,1 s0:3072,1,2,1 p=10"
UNARY,GELU_ERF,f32,f32,C:C,nd2,766,269,K1,"dst2048,512,1,1 s0:2048,512,1,1 p=16"
UNARY,SIGMOID,f32,f32,C:C,nd2,212,212,K1,"dst1,16384,1,1 s0:1,16384,1,1 p=7"
UNARY,SILU,f32,f32,C:C,nd2,56,2,K1,"dst3072,514,1,1 s0:3072,514,1,1 p=10"
VIEW,-,f32,f32,C:C,view,641370,385,noop,"dst128,8,514,1 s0:128,8,2562,10 p=-"
VIEW,-,f32,f32,R:C,view,2082,269,noop,"dst64,8,54000,1 s0:1024,54000,1,1 p=256"
