ADD	26100	18958236
MUL	53222	6572798
REPEAT	67734	203045213
CONCAT	387606	696685339
NORM	1756	5757911
RMS_NORM	41246	3418400
MUL_MAT	98284	457363857
SCALE	10904	6374148
CPY	203448	24122248
CONT	42923	471955086
GET_ROWS	367	1692271
DIAG_MASK_INF	28	35864
SOFT_MAX	10904	10141173
ROPE	20440	737738
UNARY:SIGMOID	192	9576
UNARY:SILU	10220	455054
UNARY:GELU_ERF	684	11863555
