# C:/interactor-dress-on/models/Pixal3D-GGUF/Sparse/ss_flow_img_dit_1_3B_64_bf16.gguf
# magic=b'GGUF' version=3 tensors=701 kv=125
KV	general.architecture	flux
KV	general.quantization_version	2
KV	general.file_type	32
KV	comfy.gguf.orig_shape.rope_phases	[4096, 64]
KV	comfy.gguf.orig_shape.blocks.21.self_attn.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.22.cross_attn.cross_attn_block.k_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.22.cross_attn.cross_attn_block.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.22.self_attn.k_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.22.self_attn.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.23.cross_attn.cross_attn_block.k_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.23.cross_attn.cross_attn_block.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.23.self_attn.k_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.23.self_attn.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.24.cross_attn.cross_attn_block.k_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.24.cross_attn.cross_attn_block.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.24.self_attn.k_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.24.self_attn.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.25.cross_attn.cross_attn_block.k_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.25.cross_attn.cross_attn_block.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.25.self_attn.k_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.25.self_attn.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.26.cross_attn.cross_attn_block.k_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.26.cross_attn.cross_attn_block.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.26.self_attn.k_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.26.self_attn.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.27.cross_attn.cross_attn_block.k_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.27.cross_attn.cross_attn_block.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.27.self_attn.k_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.27.self_attn.q_rms_norm.gamma	[12, 128]
KV	comfy.gguf.orig_shape.blocks.28.cross_attn.cross_attn_block.k_rms_norm.gamma	[12, 128]
