phase	substep	kind	ok	newton	minimize	post_steps	energy	grad_norm	status	wall_s	cpu_s
0	0	AL	1	8	1	9	0.0016958164610049484	0.515018	4	3.618	3.625
1	0	reduced	1	56	1	57	0.011763020301232168	0.00672974	4	14.623	14.422
