phase	substep	kind	ok	newton	minimize	post_steps	energy	grad_norm	status	wall_s	cpu_s
0	0	AL	1	13	1	14	0.0057008273667128427	0.479606	4	4.743	4.703
1	0	reduced	1	68	1	69	0.0088976680749169139	0.00896463	4	16.856	16.734
